-,-,-
-36, -74, 987
3, -82, 994
-23, -53, 988
-110, 25, 993
-110, 25, 993
-257, 87, 1038
-458, 167, 1103
-688, 280, 1139
-801, 364, 1179
-743, 325, 1223
-612, 233, 1199
-493, 205, 1193
-377, 132, 1005
-270, 35, 931
-163, -29, 903
-35, -95, 859
-35, -95, 859
31, -129, 876
82, -197, 842
159, -200, 799
220, -228, 802
302, -311, 828
395, -463, 845
395, -463, 845
417, -488, 944
391, -448, 1028
432, -542, 1130
482, -544, 1006
400, -604, 929
356, -675, 919
327, -726, 925
275, -776, 1024
199, -805, 1129
162, -812, 1163
172, -820, 1097
142, -720, 1068
142, -720, 1068
61, -612, 1032
2, -542, 1014
-12, -468, 1047
-4, -379, 1063
18, -322, 1002
-6, -241, 950
-35, -163, 927
-46, -97, 922
-46, -97, 922
-60, -12, 991
-54, 46, 1071
-72, 137, 1081
-62, 201, 1026
-18, 218, 1010
35, 257, 1037
35, 257, 1037
76, 298, 1045
109, 353, 1053
144, 386, 1043
171, 426, 1066
188, 458, 1110
201, 421, 1146
197, 392, 1203
197, 392, 1203
209, 344, 1218
264, 333, 1224
265, 295, 1140
283, 230, 1059
272, 170, 1065
266, 129, 1081
264, 121, 1097
252, 69, 1067
252, 69, 1067
213, 59, 995
208, -12, 956
214, -91, 980
169, -119, 1035
85, -112, 1055
80, -165, 985
80, -165, 985
84, -263, 897
-9, -267, 896
-64, -325, 933
-88, -442, 912
-150, -469, 916
-222, -514, 918
-305, -519, 922
-371, -476, 1003
-350, -475, 999
-350, -475, 999
-275, -466, 949
-205, -406, 951
