-,-,-
101, 10, 1003
178, 35, 988
220, 19, 1031
220, 19, 1031
319, 22, 1080
435, 26, 1117
573, -14, 1112
680, -1, 1100
717, -16, 1024
710, -29, 981
710, -29, 981
645, -81, 911
500, -120, 965
281, -58, 1047
98, 16, 1069
-51, 77, 982
-51, 77, 982
-81, 10, 851
-36, -217, 807
-105, -278, 892
-254, -271, 971
-364, -284, 991
-456, -360, 909
-447, -655, 869
-492, -836, 1017
-558, -830, 1249
-558, -741, 1328
-481, -695, 1172
-381, -671, 1020
-269, -610, 1000
-178, -519, 972
-135, -407, 938
-151, -240, 934
-151, -240, 934
-163, -84, 868
-194, 68, 838
-260, 245, 970
-335, 379, 1044
-402, 484, 992
-486, 543, 910
-549, 536, 862
-540, 468, 907
-435, 317, 933
-435, 317, 933
-335, 177, 969
-266, 111, 987
-274, 123, 925
-226, 144, 852
-85, 32, 899
47, -54, 944
47, -54, 944
87, -48, 1000
163, -73, 930
278, -124, 1017
391, -108, 1070
512, -106, 980
556, -20, 1029
565, 102, 1117
565, 102, 1117
604, 150, 1119
635, 196, 1110
544, 328, 1137
377, 489, 1192
297, 439, 1178
284, 309, 1091
245, 221, 1014
196, 148, 1007
196, 148, 1007
181, 81, 1027
164, 50, 1015
184, -1, 1030
184, -31, 1004
139, -21, 992
107, -56, 975
107, -56, 975
144, -176, 877
150, -250, 877
105, -302, 907
86, -377, 937
57, -460, 972
42, -574, 951
42, -574, 951
